primary_sector,baseline_year,target_year,reduction_fraction,annual_rate,confidence,caveat,source_organization,source_document,official_url,sub_sector,metric,scope_coverage
Power Plants,2022,2035,0.8,-0.11644604222876276,Medium,Whole energy-sector figure (not power-only); treat as an upper-bound proxy until a power-specific series is sourced.,IEA,Net Zero Roadmap 2023 Update - Executive Summary,https://www.iea.org/reports/net-zero-roadmap-a-global-pathway-to-keep-the-15-c-goal-in-reach/executive-summary,Electricity - advanced vs emerging economies,Energy sector CO2 decline by 2035 vs 2022,"Global energy sector, split by economy group"
Petroleum and Natural Gas Systems,2020,2030,0.75,-0.12944943670387588,High,"This is a methane-specific target; GHGRP facility totals are CO2e (all gases), so this overstates achievable CO2e reduction if a facility's methane share is small.",IEA,Curtailing Methane Emissions from Fossil Fuel Operations (2021); Global Methane Tracker 2024,https://www.iea.org/reports/curtailing-methane-emissions-from-fossil-fuel-operations,Upstream oil & gas - methane,Methane emissions from fossil fuel operations,"Global oil & gas (and coal) methane emissions, NZE Scenario"
Petroleum Product Suppliers,2022,2030,0.2,-0.027507527533926934,Low,"PLACEHOLDER PROXY - demand decline, not a facility emissions-intensity target. Replace when refining-specific data is added.",IEA,Net Zero Roadmap 2023 Update,https://www.iea.org/reports/net-zero-roadmap-a-global-pathway-to-keep-the-15-c-goal-in-reach/a-renewed-pathway-to-net-zero-emissions,Refining (proxy via oil demand decline),Refined product demand implied by oil demand decline,Global oil demand as proxy for refining throughput
Refineries,2022,2030,0.2,-0.027507527533926934,Low,"PLACEHOLDER PROXY - demand decline, not a facility emissions-intensity target. Replace when refining-specific data is added.",IEA,Net Zero Roadmap 2023 Update,https://www.iea.org/reports/net-zero-roadmap-a-global-pathway-to-keep-the-15-c-goal-in-reach/a-renewed-pathway-to-net-zero-emissions,Oil & gas demand,Oil and gas demand decline,"Global oil and gas demand, NZE Scenario"
Chemicals,2023,2030,0.28,-0.045845005236247904,Medium,"Intensity-based in the source; applied here as if it were an absolute reduction, which assumes flat production volume.",IEA,Ammonia Technology Roadmap (2021),https://www.iea.org/reports/ammonia-technology-roadmap,Ammonia,Direct CO2 emissions from ammonia production,"Global ammonia production, direct CO2"
Metals,2019,2050,0.6,-0.029125207089559013,Medium,"Steel-only; GHGRP 'Metals' also includes aluminum, other non-ferrous. Target year (2050) is far beyond the 2024-2028 forecast window - trajectory is extrapolated.",IEA,Primary Chemicals tracking report / WEF Net-Zero Industry Tracker 2024 (IEA NZE data),https://www.iea.org/reports/primary-chemicals,"Primary chemicals (ammonia, methanol, high-value chemicals)","Emissions intensity, primary chemicals","Global primary chemicals production (ammonia, methanol, high-value chemicals)"
Minerals,2020,2030,0.2,-0.022067231457071457,High,"Cement only; GHGRP 'Minerals' may include lime, glass, and other mineral processes not covered by GCCA.",International Aluminium Institute (IAI),Aluminium Sector Greenhouse Gas Pathways to 2050 (2021),https://international-aluminium.org/resources/aluminium-sector-greenhouse-gas-pathways-to-2050-2021/,Aluminum (primary),"Sector GHG emissions reduction, 1.5C-aligned scenario","Global primary aluminium sector, Scope 1+2 mostly"
Waste,2020,2030,0.325,-0.038541867469075175,High,Methane-specific; applied to CO2e totals as an approximation.,International Aluminium Institute (IAI),IAI Greenhouse Gas Initiative / member commitments tracker,https://www.worldclimatefoundation.org/post/climate-nature-and-people-aluminium-s-unifying-approach-to-net-zero-transformation,Aluminum - member company interim milestone,"Scope 1 & 2 emissions reduction, interim milestone",IAI member companies with disclosed 2030 milestones
Industrial Gas Suppliers,2013,2036,0.85,-0.07917334800604625,High,Directly applicable to US facilities in this GHGRP category - highest-confidence row in this table.,UNEP / Global Methane Pledge (informed by IPCC AR6),"Global Methane Assessment (UNEP & CCAC, 2021); Global Methane Pledge Key Messages for COP28",https://www.globalmethanepledge.org/sites/default/files/documents/2023-12/GMP%20key%20messages%20on%20methane%20at%20COP28%20-%20final%20for%20website%20-%20NDC%20number%20fixed.pdf,"Waste sector methane (landfills, wastewater)","Methane emissions, waste sector",Global waste sector methane (landfill + wastewater)
Import and Export of Equipment Containing Fluorintaed GHGs,2013,2036,0.85,-0.07917334800604625,High,Same phase-down schedule as Industrial Gas Suppliers; kept as a separate row because it is a separate GHGRP category.,Global Cement and Concrete Association (GCCA),GCCA 2050 Cement and Concrete Industry Roadmap for Net Zero Concrete (2021),https://gccassociation.org/concretefuture/,Cement,CO2 emissions per tonne of cement,"GCCA members (~80% of global cement industry volume outside China, plus major Chinese producers)"
